Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,61.45,,0.53,2.8,1.7,,3.19,0.95,4.05,,,,,,,25.17,75.23,0.56,201.77,,0.0,0.0,967.69,
2024-01-02,72.78,,1.85,2.98,3.32,3.59,3.25,1.07,4.12,,,,,,,25.04,75.95,0.59,184.1,,0.0,0.0,967.01,
2024-01-03,64.04,,3.17,2.73,5.18,3.39,3.0,1.12,4.21,,,,,,,24.67,78.85,0.55,188.62,,0.0,0.0,966.71,
2024-01-04,45.69,,3.1,2.24,4.71,3.21,3.5,1.0,4.15,,,,,,,24.56,82.05,0.72,188.42,,0.0,0.0,966.51,
2024-01-05,40.67,,3.4,2.1,4.96,3.21,3.58,1.02,4.17,,,,,,,22.49,93.94,0.69,235.6,,0.0,0.0,966.44,
2024-01-06,58.23,,3.17,2.48,5.0,3.23,3.57,0.22,4.08,,,,,,,27.75,70.27,0.53,181.61,,0.0,0.0,966.04,
2024-01-07,35.43,,3.17,2.81,5.24,3.25,3.43,0.2,4.1,,,,,,,25.72,79.73,0.55,182.37,,0.0,0.0,966.71,
2024-01-08,28.42,,3.52,2.96,5.79,3.24,3.46,0.2,3.99,,,,,,,24.48,86.18,0.72,186.33,,0.0,0.0,967.28,
2024-01-09,31.44,,3.52,3.18,5.98,3.24,3.53,0.32,3.98,,,,,,,23.01,93.57,0.87,171.05,,0.0,0.0,967.12,
2024-01-10,56.56,,3.44,4.04,6.56,3.24,3.57,0.37,4.0,,,,,,,26.23,71.63,0.67,193.87,,0.0,0.0,967.55,
2024-01-11,52.68,,3.44,3.3,5.97,3.31,3.48,0.31,4.05,,,,,,,25.23,72.55,0.72,202.93,,0.0,0.0,967.84,
2024-01-12,55.06,,3.25,2.88,5.41,3.33,6.56,0.21,4.0,,,,,,,24.53,72.75,0.71,201.25,,0.0,0.0,967.92,
2024-01-13,63.4,,4.26,3.79,7.36,3.33,14.52,0.43,4.16,,,,,,,24.82,71.72,0.61,214.84,,0.0,0.0,968.58,
2024-01-14,86.89,,2.99,2.13,4.49,3.39,14.38,0.31,3.97,,,,,,,25.76,72.6,0.66,196.68,,0.0,0.0,967.66,
2024-01-15,81.2,,2.97,1.88,4.27,3.38,14.55,0.26,4.07,,,,,,,25.65,66.51,0.56,198.47,,0.0,0.0,967.31,
2024-01-16,70.52,,3.03,1.58,4.1,3.35,14.73,0.17,4.0,,,,,,,22.24,83.13,0.76,212.52,,0.0,0.0,967.05,
2024-01-17,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-18,44.55,,3.5,3.52,6.22,3.35,15.29,0.39,3.83,,,,,,,28.5,55.7,0.64,205.19,,0.0,0.0,965.61,
2024-01-19,41.28,,3.1,1.72,4.29,3.39,14.68,0.14,4.15,,,,,,,26.98,69.79,0.68,182.62,,0.0,0.0,966.5,
2024-01-20,45.07,,3.29,2.21,4.93,3.39,14.64,0.23,3.98,,,,,,,26.39,70.05,0.63,186.88,,0.0,0.0,967.82,
2024-01-21,53.33,,3.34,3.1,5.69,3.38,14.56,0.3,3.98,,,,,,,26.74,65.31,0.59,205.89,,0.0,0.0,967.73,
2024-01-22,48.29,,3.34,3.24,5.8,3.36,14.74,0.29,3.78,,,,,,,26.7,64.1,0.67,205.25,,0.0,0.0,968.58,
2024-01-23,58.49,,3.23,3.46,5.84,3.37,14.89,0.36,3.84,,,,,,,26.32,64.13,0.58,204.3,,0.0,0.0,968.29,
2024-01-24,48.44,,3.14,3.05,5.4,3.35,14.83,0.34,3.72,,,,,,,26.65,63.74,0.71,198.0,,0.0,0.0,967.87,
2024-01-25,44.67,,3.06,2.39,4.78,3.37,14.84,0.3,3.78,,,,,,,26.42,62.62,0.71,192.56,,0.0,0.0,968.53,
2024-01-26,42.99,,3.05,2.43,4.8,3.35,14.54,0.27,3.91,,,,,,,24.85,66.58,0.74,194.79,,0.0,0.0,970.34,
2024-01-27,41.23,,3.28,2.85,5.41,3.33,14.43,0.43,4.02,,,,,,,25.82,65.88,0.76,180.31,,0.0,0.0,970.19,
2024-01-28,44.48,,3.45,2.34,5.21,3.35,14.38,1.48,3.96,,,,,,,25.96,65.37,0.63,179.0,,0.0,0.0,969.77,
2024-01-29,57.49,,3.17,2.79,5.23,3.35,14.59,1.64,4.11,,,,,,,25.95,66.69,0.64,179.2,,0.0,0.0,969.12,
2024-01-30,58.94,,4.1,4.21,7.5,3.33,14.66,0.69,4.07,,,,,,,26.14,65.38,0.57,203.07,,0.0,0.0,968.44,
2024-01-31,62.83,,3.15,2.81,5.2,3.37,14.57,1.06,4.0,,,,,,,26.78,69.99,0.61,201.22,,0.0,0.0,968.43,
2024-02-01,60.4,,3.24,2.61,5.18,3.41,14.29,0.1,4.11,,,,,,,27.35,71.13,0.67,204.54,,0.0,0.0,968.36,
2024-02-02,47.71,,3.49,3.79,6.43,3.43,13.8,0.1,4.07,,,,,,,27.23,71.91,0.52,194.94,,0.0,0.0,967.81,
2024-02-03,40.52,,3.48,2.88,5.68,3.42,14.19,0.1,3.92,,,,,,,27.8,66.78,0.74,183.26,,0.0,0.0,968.48,
2024-02-04,43.44,,2.98,1.79,4.21,3.43,13.71,0.1,4.06,,,,,,,27.16,61.5,0.65,191.16,,0.0,0.0,970.18,
2024-02-05,35.19,,3.14,1.95,4.53,3.42,13.65,0.1,3.83,,,,,,,26.84,62.55,0.75,191.24,,0.0,0.0,969.9,
2024-02-06,62.13,,2.97,2.33,4.62,3.41,14.38,0.1,4.21,,,,,,,29.76,47.63,0.76,197.23,,0.0,0.0,968.99,
2024-02-07,57.27,,3.43,3.3,5.97,3.39,13.69,0.1,4.1,,,,,,,27.48,57.26,0.74,212.35,,0.0,0.0,969.37,
2024-02-08,55.5,,3.46,3.85,6.44,3.35,13.94,0.96,3.85,,,,,,,27.84,53.59,0.77,219.34,,0.0,0.0,968.44,
2024-02-09,49.75,,3.33,3.0,5.6,3.38,14.02,1.55,3.93,,,,,,,27.7,55.82,0.79,206.24,,0.0,0.0,968.81,
2024-02-10,62.97,,3.16,1.6,4.27,3.43,13.7,1.55,3.68,,,,,,,26.86,65.35,0.71,188.31,,0.0,0.0,970.31,
2024-02-11,56.82,,3.22,1.74,4.44,3.42,13.33,1.54,4.06,,,,,,,26.96,62.41,0.69,197.4,,0.0,0.0,970.57,
2024-02-12,53.02,,3.56,3.34,6.14,3.38,13.39,1.54,4.13,,,,,,,26.49,61.33,0.78,203.9,,0.0,0.0,969.89,
2024-02-13,37.14,,3.33,2.57,5.25,3.39,13.76,1.54,3.93,,,,,,,27.0,64.15,0.85,205.19,,0.0,0.0,969.18,
2024-02-14,41.01,,3.1,1.71,4.29,3.42,13.85,1.54,4.03,,,,,,,27.37,66.39,0.71,185.07,,0.0,0.0,968.56,
2024-02-15,42.83,,3.07,2.0,4.48,3.39,13.93,1.54,4.02,,,,,,,27.0,61.17,0.71,190.12,,0.0,0.0,968.48,
2024-02-16,48.18,,3.24,2.37,4.98,3.39,13.71,1.54,4.04,,,,,,,27.08,62.27,0.76,201.08,,0.0,0.0,968.82,
2024-02-17,43.22,,3.42,2.88,5.61,3.36,13.13,1.54,4.05,,,,,,,28.06,55.35,0.73,209.56,,0.0,0.0,967.66,
2024-02-18,39.3,,3.09,1.74,4.29,3.4,13.92,1.55,3.99,,,,,,,28.1,57.52,0.71,192.52,,0.0,0.0,966.89,
2024-02-19,38.07,,3.09,1.98,4.49,3.4,13.82,1.54,4.14,,,,,,,28.16,60.61,0.87,204.11,,0.0,0.0,967.3,
2024-02-20,43.61,,3.14,2.66,5.09,3.37,13.61,1.54,4.06,,,,,,,28.41,58.37,0.88,204.49,,0.0,0.0,967.3,
2024-02-21,49.06,,3.3,2.52,5.17,3.36,13.97,1.55,4.13,,,,,,,28.66,62.71,0.78,216.72,,0.0,0.0,966.24,
2024-02-22,39.09,,3.09,2.65,5.02,3.29,14.21,1.02,3.76,,,,,,,28.53,67.82,0.7,209.78,,0.0,0.0,966.29,
2024-02-23,39.25,,3.1,4.36,6.4,3.01,14.06,0.1,3.82,,,,,,,30.19,58.1,0.82,220.31,,0.0,0.0,965.19,
2024-02-24,38.53,,3.28,5.03,7.15,2.93,14.61,0.1,3.66,,,,,,,28.05,71.04,0.78,224.12,,0.0,0.0,965.72,
2024-02-25,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-26,36.63,,3.26,4.3,6.55,2.89,15.0,0.1,3.34,,,,,,,30.48,51.99,1.1,193.84,,0.0,0.0,966.12,
2024-02-27,38.37,,3.01,4.22,6.17,2.85,15.85,0.1,3.7,,,,,,,30.22,52.86,0.82,197.14,,0.0,0.0,966.51,
2024-02-28,37.76,,3.4,4.54,6.92,2.84,14.71,0.1,3.86,,,,,,,28.33,59.35,0.74,195.66,,0.0,0.0,966.3,
2024-02-29,35.6,,3.41,4.52,6.91,2.85,15.46,0.15,3.99,,,,,,,28.88,54.46,0.79,202.61,,0.0,0.0,966.59,
2024-03-01,36.62,,3.21,4.57,6.7,2.86,15.79,0.11,4.01,,,,,,,29.01,51.63,0.82,195.09,,0.0,0.0,967.74,
2024-03-02,48.28,,4.43,8.43,11.27,2.7,15.59,0.1,4.08,,,,,,,27.68,54.29,0.92,220.28,,0.0,0.0,967.45,
2024-03-03,48.55,,3.3,4.9,7.08,2.85,15.56,0.1,4.07,,,,,,,27.97,59.26,0.86,210.07,,0.0,0.0,966.47,
2024-03-04,52.97,,3.44,4.72,7.1,2.87,15.3,0.1,3.94,,,,,,,29.0,60.69,0.79,222.54,,0.0,0.0,966.2,
2024-03-05,42.77,,3.4,4.16,6.61,2.89,15.76,0.1,4.01,,,,,,,29.3,62.16,0.77,200.46,,0.0,0.0,966.17,
2024-03-06,41.77,,2.94,3.68,5.66,2.93,13.87,0.1,4.05,,,,,,,35.69,32.48,1.24,255.57,,0.0,0.0,966.23,
2024-03-07,33.65,,3.06,4.11,6.16,2.96,16.84,0.1,4.07,,,,,,,32.73,43.86,0.92,215.57,,0.0,0.0,965.15,
2024-03-08,39.98,,3.63,5.44,7.92,2.89,16.32,0.1,3.85,,,,,,,30.04,54.77,0.69,218.86,,0.0,0.0,966.1,
2024-03-09,39.75,,3.44,4.51,6.93,2.9,16.41,0.1,3.83,,,,,,,29.8,63.73,0.79,218.95,,0.0,0.0,965.87,
2024-03-10,43.3,,3.21,3.65,5.97,2.94,16.39,0.1,3.89,,,,,,,29.8,65.93,0.78,212.18,,0.0,0.0,967.63,
2024-03-11,53.06,,3.16,3.74,5.98,2.96,16.5,0.1,4.06,,,,,,,30.03,54.42,0.72,206.45,,0.0,0.0,969.08,
2024-03-12,46.81,,3.44,4.65,7.07,2.93,16.18,0.1,3.79,,,,,,,29.6,58.24,0.78,212.03,,0.0,0.0,968.6,
2024-03-13,50.96,,3.4,4.79,7.11,2.87,16.69,0.1,3.72,,,,,,,30.12,60.34,0.78,232.67,,0.0,0.0,967.19,
2024-03-14,44.46,,3.3,3.7,6.11,2.92,16.65,0.1,3.94,,,,,,,30.0,68.1,0.78,221.22,,0.0,0.0,966.7,
2024-03-15,47.84,,3.27,3.35,5.8,2.97,16.05,0.1,3.87,,,,,,,29.09,74.35,0.72,212.55,,0.0,0.0,965.78,
2024-03-16,45.58,,3.44,4.46,6.9,2.91,16.56,0.1,4.02,,,,,,,29.68,66.97,0.78,216.67,,0.0,0.0,966.21,
2024-03-17,31.95,,3.4,3.89,6.39,2.9,16.79,0.11,3.81,,,,,,,29.3,63.04,0.78,216.81,,0.0,0.0,966.5,
2024-03-18,32.0,,3.31,4.08,6.43,2.89,16.25,0.11,3.69,,,,,,,29.21,64.11,0.8,216.4,,0.0,0.0,966.26,
2024-03-19,39.68,,3.39,4.5,6.86,2.91,16.43,0.11,3.85,,,,,,,29.52,55.23,0.75,217.48,,0.0,0.0,965.76,
2024-03-20,46.5,,3.54,4.5,7.05,2.89,16.4,0.1,3.78,,,,,,,29.55,58.38,0.78,217.98,,0.0,0.0,965.46,
2024-03-21,40.15,,3.41,4.01,6.49,2.92,16.35,0.1,3.97,,,,,,,29.25,61.75,0.79,201.2,,0.0,0.0,965.73,
2024-03-22,39.18,,3.24,3.54,5.92,2.99,16.51,0.1,3.89,,,,,,,29.94,63.04,0.71,197.43,,0.0,0.0,964.31,
2024-03-23,39.18,,3.37,3.19,5.79,3.1,17.16,0.1,3.83,,,,,,,30.35,60.06,0.79,211.35,,0.0,0.0,964.39,
2024-03-24,41.68,,3.65,2.78,5.81,3.1,16.08,0.1,3.87,,,,,,,25.97,79.83,0.5,201.31,,0.0,0.0,965.47,
2024-03-25,41.27,,3.13,4.11,6.24,3.16,18.28,0.1,3.8,,,,,,,34.66,33.33,1.01,235.81,,0.0,0.0,964.8,
2024-03-26,,,3.05,3.18,5.39,3.21,18.36,0.1,4.12,,,,,,,33.1,43.32,0.82,207.01,,0.0,0.0,966.08,
